HOME_AREA,WORK_AREA,HOME_LATITUDE,HOME_LONGITUDE,WORK_LATITUDE,WORK_LONGITUDE,GENDER,INCOME_CLASS,PERCENT_TRAVELLERS,TRAVELING_DISTANCE_KM,DIRECT_DISTANCE_KM
F6_F7_E7,BAHRIA8,33.72367762,73.06117237,33.495714,73.085473,MALE,B:Mid,0.000433,33.423,25.44809455836008
KOHINOOR_MILL_PIRWADHAI,G6_G7_BLUE_AREA,33.61071461,72.98985375,33.71343576,73.07453243,MALE,C:Low,0.01385,19.783,13.852157695055071
GHAURI_BURMA_TOWN_KHANNA,BAHRIA8,33.62744882,73.13042452,33.495714,73.085473,FEMALE,A:Highest,0.000866,28.768,15.228892851882069
BAHRIA8,RAWAL_ROAD,33.495714,73.085473,33.61876717,73.073812,FEMALE,C:Low,0.000866,20.743,13.725486883760793
DHAMIAL_CHAKRI_ROAD,NAVAL_GULBERG,33.56066811,73.01000235,33.57863522,73.17832789,FEMALE,A:Highest,0.000433,23.252,15.722672428595576
ADIALA,KHANNA_KORAL,33.54623619,73.05209675,33.62449535,73.1067525,FEMALE,C:Low,0.000433,17.48,10.06767198136267
KOHINOOR_MILL_PIRWADHAI,G6_G7_BLUE_AREA,33.61071461,72.98985375,33.71343576,73.07453243,FEMALE,C:Low,0.005627,19.783,13.852157695055071
LALKURTI_TENCH_DHOKSYEDAN,QASIM_MARKET_RANGE_ROAD,33.57943285,73.04073332,33.59000295,73.01657994,FEMALE,C:Low,0.804162,3.105,2.5273284945252454
GHAURI_BURMA_TOWN_KHANNA,I10_I11,33.62744882,73.13042452,33.646044,73.03527323,FEMALE,C:Low,0.010387,14.429,9.048253007695537
I8_H8_SHAKARPARIAN,G6_G7_BLUE_AREA,33.68034167,73.07717667,33.71343576,73.07453243,MALE,A:Highest,0.03073,6.916,3.6880168064948737
H9_I9,SOHAN_CHAK_SHAHZAD,33.662345,73.05200625,33.67048536,73.13181945,MALE,A:Highest,0.000866,13.492,7.441586103505611
DHA2_ZARAJ,F10_F11_E11_D12,33.53117099,73.15604532,33.69226281,72.99067119,MALE,A:Highest,0.001731,33.773,23.56668632150731
LIAQUATBAGH_RAJABAZAR,OLD_AIRPORT,33.61586581,73.05613158,33.59809288,73.11899808,MALE,A:Highest,0.004328,8.74,6.148285563498626
H10_H11_H12,GHAURI_BURMA_TOWN_KHANNA,33.6462776,72.9999366,33.62744882,73.13042452,FEMALE,B:Mid,0.000866,23.83,12.26026853342612
LALKURTI_TENCH_DHOKSYEDAN,H10_H11_H12,33.57943285,73.04073332,33.6462776,72.9999366,MALE,A:Highest,0.004328,16.544,8.337801113401323
I10_I11,SCHEME3_GULISTAN_COLONY,33.646044,73.03527323,33.57718407,73.09887208,MALE,C:Low,0.002597,18.931,9.659923965105401
MORGAH_ASKARI14,WESTRIDGE,33.54724362,73.07338379,33.61226834,73.01947658,FEMALE,B:Mid,0.002597,11.889,8.787362529437978
H13_I14_JHANGI_SYEDAN,FAIZABAD_STADIUM_ROAD,33.62512322,72.95902271,33.65196382,73.07357536,FEMALE,A:Highest,0.001731,12.53,11.016707705767923
MORGAH_ASKARI14,CHAKLALA,33.54724362,73.07338379,33.60093813,73.07507165,FEMALE,B:Mid,0.007358,9.894,5.972604450760868
WESTRIDGE,DHOKE_HASSU,33.61226834,73.01947658,33.62664115,73.03386451,MALE,C:Low,0.082667,3.846,2.0806511490138426
KHANNA_KORAL,QASIM_MARKET_RANGE_ROAD,33.62449535,73.1067525,33.59000295,73.01657994,MALE,B:Mid,0.001298,20.246,9.18942748505169
F10_F11_E11_D12,SHAMSABAD_DHOK_KALA,33.69226281,72.99067119,33.65017158,73.09153509,FEMALE,B:Mid,0.000433,16.569,10.441653638115666
BHARAKAHU_BANIGALA,G5_F5_DIPLOMATIC_SECRETARIAT,33.73680847,73.18177033,33.72629888,73.09936917,MALE,B:Mid,0.083532,11.48,7.709142776116314
SHAMSABAD_DHOK_KALA,LIAQUATBAGH_RAJABAZAR,33.65017158,73.09153509,33.61586581,73.05613158,FEMALE,C:Low,0.001731,6.747,5.0293819010985334
F10_F11_E11_D12,QASIM_MARKET_RANGE_ROAD,33.69226281,72.99067119,33.59000295,73.01657994,MALE,C:Low,0.003895,18.842,11.620975590834126
LIAQUATBAGH_RAJABAZAR,H9_I9,33.61586581,73.05613158,33.662345,73.05200625,MALE,C:Low,0.007358,9.499,5.182340928662185
FAIZABAD_STADIUM_ROAD,LALKURTI_TENCH_DHOKSYEDAN,33.65196382,73.07357536,33.57943285,73.04073332,FEMALE,A:Highest,0.001298,13.008,8.619404240360893
NAVAL_GULBERG,SCHEME3_GULISTAN_COLONY,33.57863522,73.17832789,33.57718407,73.09887208,FEMALE,B:Mid,0.001298,15.884,7.362581013092961
LALKURTI_TENCH_DHOKSYEDAN,KHANNA_KORAL,33.57943285,73.04073332,33.62449535,73.1067525,FEMALE,C:Low,0.001731,15.562,7.905213519296012
SATELLITE_TOWN,NAVAL_GULBERG,33.63989311,73.06257614,33.57863522,73.17832789,MALE,B:Mid,0.003462,19.326,12.700495528482728
BHARAKAHU_BANIGALA,NAVAL_GULBERG,33.73680847,73.18177033,33.57863522,73.17832789,MALE,C:Low,0.002597,28.469,17.590948585090523
TARAMRI_ALIPUR_FARASHTOWN,QASIM_MARKET_RANGE_ROAD,33.64359527,73.195033,33.59000295,73.01657994,MALE,C:Low,0.00303,25.908,17.566186907871074
F10_F11_E11_D12,H13_I14_JHANGI_SYEDAN,33.69226281,72.99067119,33.62512322,72.95902271,FEMALE,B:Mid,0.003462,11.725,8.019663115153781
KOHINOOR_MILL_PIRWADHAI,DHA2_ZARAJ,33.61071461,72.98985375,33.53117099,73.15604532,FEMALE,C:Low,0.00303,21.076,17.756902042182915
DHA1_BAHRIA7,LALKURTI_TENCH_DHOKSYEDAN,33.54223911,73.10114689,33.57943285,73.04073332,FEMALE,C:Low,0.002597,9.284,6.959905342570584
LIAQUATBAGH_RAJABAZAR,G13_G14_GOLRA,33.61586581,73.05613158,33.64752556,72.95087122,MALE,B:Mid,0.004328,14.885,10.361640237052914
CHAKLALA,F8_E8_F9_E9,33.60093813,73.07507165,33.7134014,73.03277168,MALE,A:Highest,0.007791,16.059,13.10387356048683
SHAMSABAD_DHOK_KALA,G13_G14_GOLRA,33.65017158,73.09153509,33.64752556,72.95087122,MALE,C:Low,0.001731,19.98,13.02375027100113
F6_F7_E7,H10_H11_H12,33.72367762,73.06117237,33.6462776,72.9999366,FEMALE,B:Mid,0.000866,15.936,10.304055626996604
DHA1_BAHRIA7,G5_F5_DIPLOMATIC_SECRETARIAT,33.54223911,73.10114689,33.72629888,73.09936917,FEMALE,B:Mid,0.000433,26.792,20.467174348175757
SHAKRIAL_SADIQABAD,H9_I9,33.63784416,73.08968728,33.662345,73.05200625,FEMALE,A:Highest,0.004761,9.433,4.425760970804328
SCHEME3_GULISTAN_COLONY,G5_F5_DIPLOMATIC_SECRETARIAT,33.57718407,73.09887208,33.72629888,73.09936917,MALE,A:Highest,0.007791,21.663,16.58087419900634
I10_I11,SHAKRIAL_SADIQABAD,33.646044,73.03527323,33.63784416,73.08968728,FEMALE,B:Mid,0.003462,9.845,5.119048054447329
OLD_AIRPORT,WESTRIDGE,33.59809288,73.11899808,33.61226834,73.01947658,FEMALE,A:Highest,0.000866,12.439,9.350601878633842
BAHRIA8,TARAMRI_ALIPUR_FARASHTOWN,33.495714,73.085473,33.64359527,73.195033,FEMALE,C:Low,0.000433,34.269,19.324310858822177
KOHINOOR_MILL_PIRWADHAI,DHOKE_HASSU,33.61071461,72.98985375,33.62664115,73.03386451,FEMALE,C:Low,0.013417,6.795,4.443409013337114
QASIM_MARKET_RANGE_ROAD,LIAQUATBAGH_RAJABAZAR,33.59000295,73.01657994,33.61586581,73.05613158,MALE,B:Mid,0.06925,7.33,4.657038521994272
G8_G9,SCHEME3_GULISTAN_COLONY,33.69034756,73.04003006,33.57718407,73.09887208,FEMALE,C:Low,0.001731,26.468,13.711803222914499
ADIALA,SHAKRIAL_SADIQABAD,33.54623619,73.05209675,33.63784416,73.08968728,MALE,B:Mid,0.003462,13.782,10.764974702399975
F6_F7_E7,TARAMRI_ALIPUR_FARASHTOWN,33.72367762,73.06117237,33.64359527,73.195033,MALE,A:Highest,0.000433,19.194,15.254495036258398
H9_I9,F6_F7_E7,33.662345,73.05200625,33.72367762,73.06117237,MALE,A:Highest,0.001731,10.928,6.87239739649904
SCHEME3_GULISTAN_COLONY,H10_H11_H12,33.57718407,73.09887208,33.6462776,72.9999366,FEMALE,A:Highest,0.000433,23.991,11.956803503105972
I8_H8_SHAKARPARIAN,KOHINOOR_MILL_PIRWADHAI,33.68034167,73.07717667,33.61071461,72.98985375,MALE,C:Low,0.002164,13.906,11.192885987119688
SHAKRIAL_SADIQABAD,KOHINOOR_MILL_PIRWADHAI,33.63784416,73.08968728,33.61071461,72.98985375,FEMALE,C:Low,0.003462,15.896,9.723433154697382
SADDAR,NAVAL_GULBERG,33.59627289,73.05574406,33.57863522,73.17832789,FEMALE,C:Low,0.000866,17.557,11.523075794887198
LIAQUATBAGH_RAJABAZAR,G6_G7_BLUE_AREA,33.61586581,73.05613158,33.71343576,73.07453243,FEMALE,C:Low,0.007791,14.792,10.982120632013144
G6_G7_BLUE_AREA,DHA2_ZARAJ,33.71343576,73.07453243,33.53117099,73.15604532,FEMALE,A:Highest,0.000866,28.343,21.626662248681463
SHAKRIAL_SADIQABAD,G10_G11_G12,33.63784416,73.08968728,33.67167071,73.00632507,MALE,B:Mid,0.010387,16.629,8.583796000988189
SCHEME3_GULISTAN_COLONY,DHA1_BAHRIA7,33.57718407,73.09887208,33.54223911,73.10114689,MALE,B:Mid,0.028998,7.787,3.8914151407597126
LIAQUATBAGH_RAJABAZAR,NAVAL_GULBERG,33.61586581,73.05613158,33.57863522,73.17832789,MALE,B:Mid,0.002597,15.979,12.051151948222815
BAHRIA8,DHAMIAL_CHAKRI_ROAD,33.495714,73.085473,33.56066811,73.01000235,MALE,C:Low,0.001731,21.312,10.055078395887731
DHOKE_HASSU,OLD_AIRPORT,33.62664115,73.03386451,33.59809288,73.11899808,FEMALE,B:Mid,0.002597,14.546,8.4987602972909
KOHINOOR_MILL_PIRWADHAI,BAHRIA1_6_PWD,33.61071461,72.98985375,33.56252679,73.13773117,MALE,B:Mid,0.006492,22.241,14.708729944647308
BAHRIA8,G5_F5_DIPLOMATIC_SECRETARIAT,33.495714,73.085473,33.72629888,73.09936917,MALE,C:Low,0.00303,34.352,25.672141626945784
DHAMIAL_CHAKRI_ROAD,H9_I9,33.56066811,73.01000235,33.662345,73.05200625,MALE,A:Highest,0.006059,21.847,11.956365272003945
G13_G14_GOLRA,BAHRIA1_6_PWD,33.64752556,72.95087122,33.56252679,73.13773117,MALE,C:Low,0.00303,33.412,19.71810638245119
SCHEME3_GULISTAN_COLONY,SADDAR,33.57718407,73.09887208,33.59627289,73.05574406,FEMALE,A:Highest,0.013417,6.803,4.523854249674519
ADIALA,SOHAN_CHAK_SHAHZAD,33.54623619,73.05209675,33.67048536,73.13181945,FEMALE,B:Mid,0.000433,24.762,15.664803904143392
SCHEME3_GULISTAN_COLONY,H9_I9,33.57718407,73.09887208,33.662345,73.05200625,MALE,B:Mid,0.004761,15.423,10.41645356811005
I10_I11,GHAURI_BURMA_TOWN_KHANNA,33.646044,73.03527323,33.62744882,73.13042452,MALE,A:Highest,0.003895,14.234,9.048253007695537
QASIM_MARKET_RANGE_ROAD,CHAKLALA,33.59000295,73.01657994,33.60093813,73.07507165,FEMALE,B:Mid,0.005627,10.107,5.552366057781903
H13_I14_JHANGI_SYEDAN,TARAMRI_ALIPUR_FARASHTOWN,33.62512322,72.95902271,33.64359527,73.195033,FEMALE,A:Highest,0.000433,32.406,21.94608780905978
G6_G7_BLUE_AREA,G5_F5_DIPLOMATIC_SECRETARIAT,33.71343576,73.07453243,33.72629888,73.09936917,MALE,A:Highest,0.11556,4.292,2.7059990424107223
KHANNA_KORAL,DHA1_BAHRIA7,33.62449535,73.1067525,33.54223911,73.10114689,FEMALE,A:Highest,0.001298,20.579,9.161205039260848
G10_G11_G12,LIAQUATBAGH_RAJABAZAR,33.67167071,73.00632507,33.61586581,73.05613158,MALE,A:Highest,0.00303,15.02,7.730595634506014
G6_G7_BLUE_AREA,SHAMSABAD_DHOK_KALA,33.71343576,73.07453243,33.65017158,73.09153509,FEMALE,B:Mid,0.003462,10.575,7.208428810399662
DHAMIAL_CHAKRI_ROAD,NAVAL_GULBERG,33.56066811,73.01000235,33.57863522,73.17832789,MALE,C:Low,0.000866,23.252,15.722672428595576
TARAMRI_ALIPUR_FARASHTOWN,GHAURI_BURMA_TOWN_KHANNA,33.64359527,73.195033,33.62744882,73.13042452,FEMALE,A:Highest,0.012552,7.026,6.245002261408016
BHARAKAHU_BANIGALA,WESTRIDGE,33.73680847,73.18177033,33.61226834,73.01947658,MALE,B:Mid,0.002164,27.196,20.428322546105075
MORGAH_ASKARI14,NAVAL_GULBERG,33.54724362,73.07338379,33.57863522,73.17832789,FEMALE,A:Highest,0.001298,21.249,10.331280082093869
LIAQUATBAGH_RAJABAZAR,MORGAH_ASKARI14,33.61586581,73.05613158,33.54724362,73.07338379,MALE,C:Low,0.005627,11.203,7.796011374195368
F10_F11_E11_D12,TARAMRI_ALIPUR_FARASHTOWN,33.69226281,72.99067119,33.64359527,73.195033,FEMALE,A:Highest,0.000433,27.498,19.671376995019592
G10_G11_G12,G13_G14_GOLRA,33.67167071,73.00632507,33.64752556,72.95087122,FEMALE,A:Highest,0.008223,8.493,5.792213142962397
DHA2_ZARAJ,FAIZABAD_STADIUM_ROAD,33.53117099,73.15604532,33.65196382,73.07357536,FEMALE,C:Low,0.001298,21.794,15.451805249873322
NAVAL_GULBERG,H9_I9,33.57863522,73.17832789,33.662345,73.05200625,MALE,B:Mid,0.002164,19.507,14.948362766799816
RAWAL_ROAD,H13_I14_JHANGI_SYEDAN,33.61876717,73.073812,33.62512322,72.95902271,MALE,A:Highest,0.000433,14.373,10.652161155918751
BAHRIA8,DHOKE_HASSU,33.495714,73.085473,33.62664115,73.03386451,FEMALE,B:Mid,0.000866,22.257,15.323677408539446
G5_F5_DIPLOMATIC_SECRETARIAT,G10_G11_G12,33.72629888,73.09936917,33.67167071,73.00632507,MALE,C:Low,0.005194,15.061,10.53506119630172
G5_F5_DIPLOMATIC_SECRETARIAT,DHA2_ZARAJ,33.72629888,73.09936917,33.53117099,73.15604532,FEMALE,C:Low,0.000866,29.204,22.322746965224244
FAIZABAD_STADIUM_ROAD,MORGAH_ASKARI14,33.65196382,73.07357536,33.54724362,73.07338379,FEMALE,C:Low,0.001298,17.317,11.644368474530827
RAWAL_ROAD,TARAMRI_ALIPUR_FARASHTOWN,33.61876717,73.073812,33.64359527,73.195033,MALE,B:Mid,0.003462,20.672,11.557590454755994
H9_I9,BAHRIA1_6_PWD,33.662345,73.05200625,33.56252679,73.13773117,MALE,C:Low,0.002164,21.094,13.645960851530539
MORGAH_ASKARI14,ADIALA,33.54724362,73.07338379,33.54623619,73.05209675,FEMALE,C:Low,0.040684,5.307,1.9759283365671423
KOHINOOR_MILL_PIRWADHAI,DHA1_BAHRIA7,33.61071461,72.98985375,33.54223911,73.10114689,FEMALE,B:Mid,0.001298,17.02,12.817150847569213
WESTRIDGE,F10_F11_E11_D12,33.61226834,73.01947658,33.69226281,72.99067119,FEMALE,C:Low,0.001298,17.453,9.285983361572617
DHA1_BAHRIA7,SADDAR,33.54223911,73.10114689,33.59627289,73.05574406,FEMALE,B:Mid,0.006925,8.888,7.334477262209377
I8_H8_SHAKARPARIAN,H10_H11_H12,33.68034167,73.07717667,33.6462776,72.9999366,FEMALE,B:Mid,0.000866,12.672,8.089963287828091
RAWAL_ROAD,H9_I9,33.61876717,73.073812,33.662345,73.05200625,FEMALE,C:Low,0.000866,8.484,5.249286567707168
BAHRIA8,SADDAR,33.495714,73.085473,33.59627289,73.05574406,MALE,C:Low,0.011686,16.448,11.516062782122487
CHAKLALA,G13_G14_GOLRA,33.60093813,73.07507165,33.64752556,72.95087122,FEMALE,B:Mid,0.000433,16.424,12.612712059104563
CHAKLALA,G6_G7_BLUE_AREA,33.60093813,73.07507165,33.71343576,73.07453243,MALE,A:Highest,0.012119,16.345,12.509265272763933
SCHEME3_GULISTAN_COLONY,H9_I9,33.57718407,73.09887208,33.662345,73.05200625,FEMALE,C:Low,0.000433,15.423,10.41645356811005
RAWAL_ROAD,G8_G9,33.61876717,73.073812,33.69034756,73.04003006,MALE,C:Low,0.007791,10.392,8.551518629803141
OLD_AIRPORT,H13_I14_JHANGI_SYEDAN,33.59809288,73.11899808,33.62512322,72.95902271,MALE,A:Highest,0.001298,18.039,15.116207712848574
BAHRIA8,G10_G11_G12,33.495714,73.085473,33.67167071,73.00632507,MALE,C:Low,0.000433,33.161,20.89410719635023
G5_F5_DIPLOMATIC_SECRETARIAT,BHARAKAHU_BANIGALA,33.72629888,73.09936917,33.73680847,73.18177033,FEMALE,C:Low,0.020775,10.773,7.709142776116314
BHARAKAHU_BANIGALA,SHAKRIAL_SADIQABAD,33.73680847,73.18177033,33.63784416,73.08968728,FEMALE,B:Mid,0.002597,18.61,13.916959831005753
G5_F5_DIPLOMATIC_SECRETARIAT,KOHINOOR_MILL_PIRWADHAI,33.72629888,73.09936917,33.61071461,72.98985375,MALE,C:Low,0.001731,21.959,16.367637104315676
SCHEME3_GULISTAN_COLONY,DHAMIAL_CHAKRI_ROAD,33.57718407,73.09887208,33.56066811,73.01000235,MALE,C:Low,0.006059,13.297,8.436100918946016
H13_I14_JHANGI_SYEDAN,F8_E8_F9_E9,33.62512322,72.95902271,33.7134014,73.03277168,FEMALE,B:Mid,0.003462,16.511,11.955527094595942
ADIALA,F8_E8_F9_E9,33.54623619,73.05209675,33.7134014,73.03277168,MALE,B:Mid,0.000433,29.835,18.673835573175253
ADIALA,CHAKLALA,33.54623619,73.05209675,33.60093813,73.07507165,MALE,C:Low,0.018611,9.0,6.444246065303121
KOHINOOR_MILL_PIRWADHAI,H10_H11_H12,33.61071461,72.98985375,33.6462776,72.9999366,MALE,B:Mid,0.022939,10.468,4.063120634230699
F6_F7_E7,I8_H8_SHAKARPARIAN,33.72367762,73.06117237,33.68034167,73.07717667,MALE,A:Highest,0.00303,6.377,5.041045394443769
G6_G7_BLUE_AREA,BAHRIA8,33.71343576,73.07453243,33.495714,73.085473,MALE,A:Highest,0.000866,33.072,24.230748674972403
SHAKRIAL_SADIQABAD,QASIM_MARKET_RANGE_ROAD,33.63784416,73.08968728,33.59000295,73.01657994,FEMALE,C:Low,0.001731,12.615,8.6098906344106
F8_E8_F9_E9,KHANNA_KORAL,33.7134014,73.03277168,33.62449535,73.1067525,MALE,A:Highest,0.002164,16.16,12.02513249749471
H13_I14_JHANGI_SYEDAN,QASIM_MARKET_RANGE_ROAD,33.62512322,72.95902271,33.59000295,73.01657994,FEMALE,C:Low,0.002597,9.004,6.60776251242572
KOHINOOR_MILL_PIRWADHAI,G6_G7_BLUE_AREA,33.61071461,72.98985375,33.71343576,73.07453243,MALE,B:Mid,0.018178,19.783,13.852157695055071
DHAMIAL_CHAKRI_ROAD,TARAMRI_ALIPUR_FARASHTOWN,33.56066811,73.01000235,33.64359527,73.195033,MALE,C:Low,0.002597,27.928,19.45989125428122
G5_F5_DIPLOMATIC_SECRETARIAT,DHA1_BAHRIA7,33.72629888,73.09936917,33.54223911,73.10114689,MALE,A:Highest,0.000433,25.66,20.467174348175757
H10_H11_H12,SCHEME3_GULISTAN_COLONY,33.6462776,72.9999366,33.57718407,73.09887208,MALE,C:Low,0.000866,21.919,11.956803503105972
GHAURI_BURMA_TOWN_KHANNA,NAVAL_GULBERG,33.62744882,73.13042452,33.57863522,73.17832789,MALE,A:Highest,0.026401,12.198,7.010259240377328
DHA1_BAHRIA7,H10_H11_H12,33.54223911,73.10114689,33.6462776,72.9999366,FEMALE,A:Highest,0.000866,23.452,14.889940005714006
F6_F7_E7,SADDAR,33.72367762,73.06117237,33.59627289,73.05574406,FEMALE,A:Highest,0.000866,17.788,14.175665242077079
SHAMSABAD_DHOK_KALA,SOHAN_CHAK_SHAHZAD,33.65017158,73.09153509,33.67048536,73.13181945,MALE,B:Mid,0.021208,11.123,4.3592445165741855
H9_I9,I10_I11,33.662345,73.05200625,33.646044,73.03527323,MALE,C:Low,0.03549,3.457,2.3841560032542097
QASIM_MARKET_RANGE_ROAD,MORGAH_ASKARI14,33.59000295,73.01657994,33.54724362,73.07338379,MALE,B:Mid,0.007358,13.188,7.092563973230326
ADIALA,BAHRIA1_6_PWD,33.54623619,73.05209675,33.56252679,73.13773117,MALE,C:Low,0.005627,17.111,8.139488363436028
RAWAL_ROAD,LIAQUATBAGH_RAJABAZAR,33.61876717,73.073812,33.61586581,73.05613158,MALE,A:Highest,0.084831,2.253,1.6686560069450298
BAHRIA1_6_PWD,FAIZABAD_STADIUM_ROAD,33.56252679,73.13773117,33.65196382,73.07357536,MALE,B:Mid,0.003462,17.488,11.584561494710101
BAHRIA8,BAHRIA1_6_PWD,33.495714,73.085473,33.56252679,73.13773117,FEMALE,A:Highest,0.005194,16.023,8.86890597449027
G6_G7_BLUE_AREA,KOHINOOR_MILL_PIRWADHAI,33.71343576,73.07453243,33.61071461,72.98985375,FEMALE,A:Highest,0.001298,20.013,13.852157695055071
SHAMSABAD_DHOK_KALA,CHAKLALA,33.65017158,73.09153509,33.60093813,73.07507165,MALE,A:Highest,0.002164,8.21,5.682768555511417
FAIZABAD_STADIUM_ROAD,G13_G14_GOLRA,33.65196382,73.07357536,33.64752556,72.95087122,MALE,A:Highest,0.001298,17.055,11.368598621849396
CHAKLALA,SADDAR,33.60093813,73.07507165,33.59627289,73.05574406,FEMALE,C:Low,0.036789,3.134,1.8637346027976622
LIAQUATBAGH_RAJABAZAR,ADIALA,33.61586581,73.05613158,33.54623619,73.05209675,MALE,B:Mid,0.004761,10.205,7.751477386170004
GHAURI_BURMA_TOWN_KHANNA,NAVAL_GULBERG,33.62744882,73.13042452,33.57863522,73.17832789,MALE,C:Low,0.040684,12.198,7.010259240377328
OLD_AIRPORT,LIAQUATBAGH_RAJABAZAR,33.59809288,73.11899808,33.61586581,73.05613158,MALE,B:Mid,0.020775,8.987,6.148285563498626
WESTRIDGE,F6_F7_E7,33.61226834,73.01947658,33.72367762,73.06117237,MALE,A:Highest,0.000433,23.324,12.975189849012514
F10_F11_E11_D12,F8_E8_F9_E9,33.69226281,72.99067119,33.7134014,73.03277168,MALE,A:Highest,0.044579,5.944,4.548887883517192
FAIZABAD_STADIUM_ROAD,CHAKLALA,33.65196382,73.07357536,33.60093813,73.07507165,MALE,B:Mid,0.004761,9.556,5.675488975571415
H9_I9,DHOKE_HASSU,33.662345,73.05200625,33.62664115,73.03386451,MALE,B:Mid,0.002597,7.358,4.310665568943998
G6_G7_BLUE_AREA,G13_G14_GOLRA,33.71343576,73.07453243,33.64752556,72.95087122,FEMALE,C:Low,0.002597,18.545,13.588250749641098
G6_G7_BLUE_AREA,SADDAR,33.71343576,73.07453243,33.59627289,73.05574406,FEMALE,C:Low,0.001298,17.437,13.143468316908118
KHANNA_KORAL,CHAKLALA,33.62449535,73.1067525,33.60093813,73.07507165,MALE,B:Mid,0.006925,7.412,3.9329779681652277
SATELLITE_TOWN,FAIZABAD_STADIUM_ROAD,33.63989311,73.06257614,33.65196382,73.07357536,MALE,A:Highest,0.044579,3.704,1.6846871568569073
I8_H8_SHAKARPARIAN,G6_G7_BLUE_AREA,33.68034167,73.07717667,33.71343576,73.07453243,MALE,C:Low,0.049773,6.916,3.6880168064948737
H9_I9,G8_G9,33.662345,73.05200625,33.69034756,73.04003006,FEMALE,B:Mid,0.003462,4.523,3.305075655196508
FAIZABAD_STADIUM_ROAD,MORGAH_ASKARI14,33.65196382,73.07357536,33.54724362,73.07338379,MALE,B:Mid,0.002597,17.317,11.644368474530827
QASIM_MARKET_RANGE_ROAD,DHAMIAL_CHAKRI_ROAD,33.59000295,73.01657994,33.56066811,73.01000235,FEMALE,A:Highest,0.014283,5.275,3.318316735805437
MORGAH_ASKARI14,TARAMRI_ALIPUR_FARASHTOWN,33.54724362,73.07338379,33.64359527,73.195033,MALE,B:Mid,0.000433,25.925,15.547945669254126
G6_G7_BLUE_AREA,QASIM_MARKET_RANGE_ROAD,33.71343576,73.07453243,33.59000295,73.01657994,MALE,A:Highest,0.001298,24.132,14.73609270884683
G13_G14_GOLRA,F10_F11_E11_D12,33.64752556,72.95087122,33.69226281,72.99067119,FEMALE,A:Highest,0.019476,11.553,6.189650950370481
H13_I14_JHANGI_SYEDAN,SATELLITE_TOWN,33.62512322,72.95902271,33.63989311,73.06257614,MALE,A:Highest,0.007791,14.664,9.726804874400294
OLD_AIRPORT,SCHEME3_GULISTAN_COLONY,33.59809288,73.11899808,33.57718407,73.09887208,MALE,C:Low,0.067518,3.918,2.9800853419882993
BAHRIA8,F6_F7_E7,33.495714,73.085473,33.72367762,73.06117237,MALE,C:Low,0.002164,39.744,25.44809455836008
LALKURTI_TENCH_DHOKSYEDAN,DHAMIAL_CHAKRI_ROAD,33.57943285,73.04073332,33.56066811,73.01000235,MALE,B:Mid,0.047176,5.174,3.5298918272327793
F8_E8_F9_E9,F6_F7_E7,33.7134014,73.03277168,33.72367762,73.06117237,FEMALE,A:Highest,0.005627,3.893,2.864527743806649
DHA2_ZARAJ,SADDAR,33.53117099,73.15604532,33.59627289,73.05574406,MALE,C:Low,0.009522,16.513,11.780139213435364
